Name,Typ,land,Branche,Stage,Linkedin,Twitter
AARON HOLIDAY,VC - Small fund,United States,"E-Commerce, Mobile, Social, Enterprise, SaaS, Consumer","Seed, Series A",https://www.linkedin.com/in/aholidayiii/,
Alexandre Pelletier,VC - Small fund,France,"Enterprise, Mobile, E-Commerce, SaaS, Social, AI/ML, Consumer","Seed, Series A",https://www.linkedin.com/in/alexpelletier/,
Andrej Kiska,VC - Small fund,United States,"Mobile, Security, AI/ML, Big Data, IoT, Enterprise, SaaS","Seed, Series A",https://www.linkedin.com/in/kiskandrej/,https://twitter.com/kiskandrej
Arne Tonning,VC - Small fund,United States,"Security, Mobile, Life Sci., Healthcare, Enterprise","Seed, Series A",https://www.linkedin.com/in/arnetonning/,https://twitter.com/eagleonamound
Arpit Agarwal,VC - Small fund,India,"Mobile, Enterprise, E-Commerce, Social, Consumer","Seed, Series A",https://www.linkedin.com/in/arpit105/,https://twitter.com/arpiit
Baiyin Zhou,VC - Small fund,United States,"Big Data, Enterprise, SaaS, Mobile, Security","Seed, Series A",https://www.linkedin.com/in/baiyinzhou/,https://twitter.com/baiyinvc
Ben Einstein,VC - Small fund,United States,"Mobile, Robotics, Healthcare, Hardware, Enterprise, IoT","Seed, Series A",https://www.linkedin.com/in/beneinstein/,https://twitter.com/BenEinstein
Bill Park,VC - Small fund,United States,"Mobile, Media, Healthcare, Life Sci., Enterprise, Security, Big Data","Seed, Series A",https://www.linkedin.com/in/bill-park-64a4396/,
BORIS NIKOLIC,VC - Small fund,United States,"AI/ML, Media, Security, Healthcare, Big Data, Life Sci., Enterprise","Seed, Series A",,
Brendan Dickinson,VC - Small fund,United States,"Mobile, E-Commerce, Life Sci., Healthcare, Enterprise, Consumer","Seed, Series A",https://www.linkedin.com/in/brendan-dickinson-3b956ba/,https://twitter.com/bdickins
Brian Feinstein,VC - Small fund,United States,"Mobile, Healthcare, Security, Big Data, Enterprise, SaaS, E-Commerce","Seed, Series A",https://www.linkedin.com/in/brianfeinstein/,
CACK WILHELM,VC - Small fund,United States,"Big Data, Enterprise, SaaS, Finance, Social, Mobile","Seed, Series A",https://www.linkedin.com/in/cackferrell/,
Chee-We Ng,VC - Small fund,China,"AR/VR, AI/ML, Finance, Enterprise, Mobile, Life Sci., Healthcare","Seed, Series A",https://www.linkedin.com/in/cheewe/,
Chris Barchak,VC - Small fund,United Kingdom,"Enterprise, Finance, Life Sci., Big Data, Mobile, SaaS","Seed, Series A",https://www.linkedin.com/in/chrisbarchak/,
Christopher W. Dick,VC - Small fund,United States,"Big Data, Enterprise, SaaS, Mobile, Security","Seed, Series A",https://www.linkedin.com/in/c-w-dick-05031a/,
DANIEL MAFFEZZOLI,VC - Small fund,United States,Food & Drink,"Seed, Series A",https://www.linkedin.com/in/danielmaffezzoli/,
David Beyer,VC - Small fund,United States,"SaaS, AI/ML, Security, Enterprise, Big Data","Seed, Series A",https://www.linkedin.com/in/davidabeyer/,https://twitter.com/dbeyer123
David Coats,VC - Small fund,United States,"Social, SaaS, Enterprise, Mobile, Healthcare, E-Commerce, Big Data","Seed, Series A",https://www.linkedin.com/in/david-coats-2a26b66/,https://twitter.com/CoatsDavid
DAVID GOLD,VC - Small fund,United States,"IoT, E-Commerce, Travel, Robotics, Enterprise, Education, Consumer","Seed, Series A",https://www.linkedin.com/in/davidmgold/,
David Lam,VC - Small fund,United States,"Life Sci., AI/ML, Enterprise, Big Data, Social, Mobile, Consumer","Seed, Series A",https://www.linkedin.com/in/davidjlam/,
David Silverman,VC - Small fund,United States,"E-Commerce, Big Data, Mobile, Enterprise, SaaS, Social, Consumer","Seed, Series A",https://www.linkedin.com/in/david-silverman-737736/,
Ed Sim,VC - Small fund,United States,"Social, Big Data, SaaS, Mobile, Enterprise","Seed, Series A",https://www.linkedin.com/in/edsim/,
Enrique Salem,VC - Small fund,United States,"Big Data, E-Commerce, Mobile, SaaS, Enterprise, Healthcare, Finance","Seed, Series A",https://www.linkedin.com/in/enriquesalem,
Evan Hendrick,VC - Small fund,United States,"Healthcare, Mobile, Finance, AI/ML, Enterprise, E-Commerce, Consumer","Seed, Series A",https://www.linkedin.com/in/evan-hendrick-34858a67/,
FRANCK BLAIS,VC - Small fund,Singapore,"Enterprise, Hardware, Gaming, Mobile, Healthcare, E-Commerce, AR/VR","Seed, Series A",,
Francois Meteyer,VC - Small fund,France,"AI/ML, Big Data, SaaS, Mobile, Enterprise, E-Commerce, Social","Seed, Series A",https://www.linkedin.com/in/francoismeteyer/,https://twitter.com/FrancoisMeteyer
Geoff J. Catherwood,VC - Small fund,Canada,"Big Data, Enterprise, SaaS, Healthcare, Mobile, Life Sci.","Seed, Series A",https://www.linkedin.com/in/geoff-catherwood-06267/,
Graham Brooks,VC - Small fund,United States,"AI/ML, Healthcare, Big Data, SaaS, Energy, Security, Enterprise","Seed, Series A",https://www.linkedin.com/in/grahambrooks/,
Greg Norman,VC - Small fund,United Kingdom,"Mobile, Retail, Social, Food & Drink, Energy, Healthcare","Seed, Series A",https://www.linkedin.com/in/gregnormanbgf/,
Han J. Kim,VC - Small fund,United States,"Social, Big Data, Marketplace, Energy, Mobile, E-Commerce, Enterprise","Seed, Series A",https://www.linkedin.com/in/han-kim-8a16/,https://twitter.com/hanaltos
Howard Chau,VC - Small fund,United States,"Enterprise, Real Estate, Mobile, Gaming, Delivery, Big Data, Transportation","Seed, Series A",https://www.linkedin.com/in/howard-chau-3a80037/,
HUICAN ZHU,VC - Small fund,United States,"Big Data, SaaS, Security, Mobile, Enterprise, AI/ML","Seed, Series A",https://www.linkedin.com/in/huican-zhu-7064222/,
Imraan Ahmed,VC - Small fund,United States,"Marketplace, Life Sci., Food & Drink, Healthcare, Automotive, Mobile, Gaming","Seed, Series A",https://www.linkedin.com/in/imraan-ahmed-6127841/,
Jake Medwell,VC - Small fund,United States,"Big Data, SaaS, Finance, Enterprise, Mobile, Healthcare","Seed, Series A",https://www.linkedin.com/in/jakemedwell/,https://twitter.com/jakemedwell
Jim Andelman,VC - Small fund,United States,"E-Commerce, SaaS, Mobile, Healthcare, Social, Transportation, Consumer","Seed, Series A",https://www.linkedin.com/in/jimandelman/,
